央视频道,#genre# 123
深圳卫视,http://123.112.246.1:5555/rtp/239.3.1.134:8020
深圳卫视,http://223.10.24.101:8085/udp/239.1.1.39:8039
深圳卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.134:8020
湖北卫视,http://123.112.246.1:5555/rtp/239.3.1.138:8044
湖北卫视,http://223.10.24.101:8085/udp/239.1.1.32:8032
湖北卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.138:8044
湖南卫视,http://123.112.246.1:5555/rtp/239.3.1.132:8012
湖南卫视,http://223.10.24.101:8085/udp/239.1.1.28:8028
湖南卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.132:8012
贵州卫视,http://123.112.246.1:5555/rtp/239.3.1.149:8076
贵州卫视,http://223.10.24.101:8085/udp/239.1.1.43:8043
贵州卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.149:8076
辽宁卫视,http://123.112.246.1:5555/rtp/239.3.1.210:8056
辽宁卫视,http://223.10.24.101:8085/udp/239.1.1.42:8042
辽宁卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.210:8056
重庆卫视,http://123.112.246.1:5555/rtp/239.3.1.122:8160
重庆卫视,http://223.10.24.101:8085/udp/239.1.1.36:8036
重庆卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.122:8160
黑龙江卫视,http://123.112.246.1:5555/rtp/239.3.1.133:8016
黑龙江卫视,http://223.10.24.101:8085/udp/239.1.1.37:8037
黑龙江卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.133:8016
